DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-05-23,2004-05-29,NORDESTE,SERGIPE,ETANOL HIDRATADO,56,R$/l,1.291,0.108,1.15,1.75,0.308,0.084,0.983,0.062,0.7828,1.0875,0.063,5,2004
2004-05-23,2004-05-29,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,1.806,0.135,1.5,1.98,0.792,0.075,1.014,0.164,0.767,1.2222,0.162,5,2004
2004-05-23,2004-05-29,NORTE,AMAPA,ETANOL HIDRATADO,15,R$/l,1.786,0.034,1.75,1.85,0.366,0.019,1.42,0.057,1.3518,1.5456,0.04,5,2004
2004-05-23,2004-05-29,NORTE,AMAZONAS,ETANOL HIDRATADO,54,R$/l,1.563,0.144,1.29,1.9,0.453,0.092,1.11,0.078,0.7874,1.2109,0.07,5,2004
2004-05-23,2004-05-29,NORTE,PARA,ETANOL HIDRATADO,98,R$/l,1.894,0.249,1.27,2.4,0.47,0.131,1.424,0.222,0.7564,1.8908,0.156,5,2004
2004-05-23,2004-05-29,NORTE,RONDONIA,ETANOL HIDRATADO,91,R$/l,1.541,0.143,1.25,1.99,0.526,0.093,1.015,0.122,0.7443,1.3306,0.12,5,2004
2004-05-23,2004-05-29,NORTE,RORAIMA,ETANOL HIDRATADO,14,R$/l,1.329,0.073,1.3,1.5,0.196,0.055,1.133,0.091,0.9798,1.3577,0.08,5,2004
2004-05-23,2004-05-29,NORTE,TOCANTINS,ETANOL HIDRATADO,72,R$/l,1.238,0.09,1.05,1.52,0.564,0.073,0.674,0.102,0.5537,0.983,0.151,5,2004
2004-05-23,2004-05-29,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,305,R$/l,1.135,0.121,0.84,1.47,0.277,0.107,0.858,0.083,0.603,1.1372,0.097,5,2004
2004-05-23,2004-05-29,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,1260,R$/l,1.199,0.115,0.929,1.875,0.372,0.096,0.827,0.117,0.3797,1.4143,0.141,5,2004
2004-05-23,2004-05-29,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,973,R$/l,1.103,0.14,0.77,1.589,0.281,0.127,0.822,0.166,0.38909,1.1859,0.202,5,2004
2004-05-23,2004-05-29,SUDESTE,SAO PAULO,ETANOL HIDRATADO,4077,R$/l,0.823,0.071,0.62,1.199,0.209,0.086,0.614,0.063,0.34951,1.412,0.103,5,2004
2004-05-23,2004-05-29,SUL,PARANA,ETANOL HIDRATADO,770,R$/l,0.97,0.087,0.76,1.5,0.277,0.09,0.693,0.112,0.4337,0.9634,0.162,5,2004
2004-05-23,2004-05-29,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,690,R$/l,1.235,0.129,0.938,1.71,0.337,0.104,0.898,0.089,0.616,1.2727,0.099,5,2004
2004-05-23,2004-05-29,SUL,SANTA CATARINA,ETANOL HIDRATADO,513,R$/l,1.231,0.078,0.999,1.49,0.395,0.063,0.836,0.103,0.626,1.2348,0.123,5,2004
2004-05-30,2004-06-05,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,144,R$/l,1.373,0.051,1.18,1.45,0.479,0.037,0.894,0.147,0.4094,1.4206,0.164,5,2004
2004-05-30,2004-06-05,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,380,R$/l,1.191,0.111,0.92,1.52,0.41,0.093,0.781,0.092,0.5614,1.1438,0.118,5,2004
2004-05-30,2004-06-05,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,196,R$/l,1.392,0.108,1.18,1.75,0.405,0.078,0.987,0.097,0.62,1.45,0.098,5,2004
2004-05-30,2004-06-05,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,177,R$/l,1.302,0.081,1.09,1.412,0.443,0.062,0.859,0.121,0.448,1.2396,0.141,5,2004
